Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2026-08-01,1,Hourglass (Sign),BOWKYLION,-,1,1
2026-08-01,2,When Will It Happen? (When Will We Have Feelings For Each Other?),BLVCKHEART,-,2,1
2026-08-01,3,Crybaby (Boy's Don't Cry),PROXIE,-,3,1
2026-08-01,4,Hate That I Made You Love Me,Ariana Grande,-,4,1
2026-08-01,5,Swim,BTS,-,5,1
2026-08-01,6,Living Death,PUN,-,6,1
2026-08-01,7,Love For You To Know (Proof.),PUN,-,7,1
2026-08-01,8,Afraid I Won't Regret It (Fear),PURPEECH,-,8,1
2026-08-01,9,Just This Much (Forever N Ever),PUN,-,9,1
2026-08-01,10,Love Is Hard (Lover Loser),BUS,-,10,1
2026-08-01,11,Earrings,Malcolm Todd,-,11,1
2026-08-01,12,I Want To Hold You For A Long Time (Have A Good Time),BLVCKHEART,-,12,1
2026-08-01,13,Walking You Part of the Way (The Last Walk),GAVIN:D Featuring BLVCKHEART,-,13,1
2026-08-01,14,Love,Bodyslam,-,14,1
2026-08-01,15,Normal,BTS,-,15,1
2026-08-01,16,Rain Zone,Maiyarap Faturing. Z9,-,16,1
2026-08-01,17,Bookmark (Sometimes),BOWKYLION Featuring NONT TANONT,-,17,1
2026-08-01,18,Moonlit Night,Loso,-,18,1
2026-08-01,19,Parting Ways Completely,guncharlie,-,19,1
2026-08-01,20,BAD,ATEEZ,-,20,1
2026-08-01,21,When Discovered (Finally She Found.),FREEHAND,-,21,1
2026-08-01,22,One Of My Life,BLVCKHEART Featuring K6Y,-,22,1
2026-08-01,23,Second-hand Love,Bedroom Audio,-,23,1
2026-08-01,24,I Can't Bring Myself To Love Anyone.,Three Man Down,-,24,1
2026-08-01,25,Afraid Of Heartbreak,SARAN Featuring Pearpilincys,-,25,1
2026-08-08,1,"If You Don’t Mean It (If You Don't Think It, Don't Make Me Think It)",TEN,-,1,1
2026-08-08,2,Hourglass (Sign),BOWKYLION,1,1,2
2026-08-08,3,When Will It Happen? (When Will We Have Feelings For Each Other?),BLVCKHEART,2,2,2
2026-08-08,4,Crybaby (Boy's Don't Cry),PROXIE,3,3,2
2026-08-08,5,Less Than A Lover,JENNIE,-,5,1
2026-08-08,6,Hate That I Made You Love Me,Ariana Grande,4,4,2
2026-08-08,7,Swim,BTS,5,5,2
2026-08-08,8,Love For You To Know (Proof.),PUN,7,7,2
2026-08-08,9,Living Death,PUN,6,6,2
2026-08-08,10,Afraid I Won't Regret It (Fear),PURPEECH,8,8,2
2026-08-08,11,Just This Much (Forever N Ever),PUN,9,9,2
2026-08-08,12,I Want To Hold You For A Long Time (Have A Good Time),BLVCKHEART,12,12,2
2026-08-08,13,Walking You Part of the Way (The Last Walk),GAVIN:D Featuring BLVCKHEART,13,13,2
2026-08-08,14,Earrings,Malcolm Todd,11,11,2
2026-08-08,15,Memorize (3am Call),Mirrr Featuring BLVCKHEART,-,15,1
2026-08-08,16,Bookmark (Sometimes),BOWKYLION Featuring NONT TANONT,17,16,2
2026-08-08,17,Rain Zone,Maiyarap Faturing. Z9,16,16,2
2026-08-08,18,Love,Bodyslam,14,14,2
2026-08-08,19,Moonlit Night,Loso,18,18,2
2026-08-08,20,When Discovered (Finally She Found.),FREEHAND,21,20,2
2026-08-08,21,One Of My Life,BLVCKHEART Featuring K6Y,22,21,2
2026-08-08,22,Second-hand Love,Bedroom Audio,23,22,2
2026-08-08,23,DAY ONE,PUN,-,23,1
2026-08-08,24,I Can't Bring Myself To Love Anyone.,Three Man Down,24,24,2
2026-08-08,25,Parting Ways Completely,guncharlie,19,19,2
2026-08-15,1,When Will It Happen? (When Will We Have Feelings For Each Other?),BLVCKHEART,3,1,3
2026-08-15,2,Crybaby (Boy's Don't Cry),PROXIE,4,2,3
2026-08-15,3,Memorize (3am Call),Mirrr Featuring BLVCKHEART,15,3,2
2026-08-15,4,Hourglass (Sign),BOWKYLION,2,1,3
2026-08-15,5,Hate That I Made You Love Me,Ariana Grande,6,4,3
2026-08-15,6,Swim,BTS,7,5,3
2026-08-15,7,Living Death,PUN,9,6,3
2026-08-15,8,Less Than A Lover,JENNIE,5,5,2
2026-08-15,9,Love For You To Know (Proof.),PUN,8,7,3
2026-08-15,10,Afraid I Won't Regret It (Fear),PURPEECH,10,8,3
2026-08-15,11,"If You Don’t Mean It (If You Don't Think It, Don't Make Me Think It)",TEN,1,1,2
2026-08-15,12,Just This Much (Forever N Ever),PUN,11,9,3
2026-08-15,13,Not A Single Day Goes By Without Missing You (starlost.),PURPEECH,-,13,1
2026-08-15,14,Earrings,Malcolm Todd,14,11,3
2026-08-15,15,Petal,Ariana Grande,-,15,1
